Ürün İsmi,Ürün Linki,Ürün Fiyatı,Kategori
Erkek Jeans Skinny Fit Likralı Düz Trnak Mavi 2000ENJYG,https://www.trendyol.com//enerjin/erkek-jeans-skinny-fit-likrali-duz-trnak-mavi-p-122988462?advertItems=eyJhZHZlcnRJZCI6ImY3ZDFmN2ZiLTMwNTYtNDFiNS05OTEyLTRmNjA3OTcyMTQwYyIsInNvcnRpbmdTY29yZSI6MC4wNDk3NTM1Mjg1OTg2OTU5OSwiYWRTY29yZSI6MC4wMjAwMTM0ODY5NjY0OTA3NDYsImFkU2NvcmVzIjp7IjEiOjAuMDIwMDEzNDg2OTY2NDkwNzQ2LCIyIjowLjAyMDAxMzQ4Njk2NjQ5MDc0Nn0sImNwYyI6Mi40ODU5OTk5OTk5OTk5OTk4LCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMzE5NDQyNzE2OTMwODQzLCJhZHZlcnRTbG90Ijo2LCJvcmRlciI6MTAsImF0dHJpYnV0ZXMiOiIifQ==,"310,05",Pantolon
Erkek Siyah %100 Pamuk Slim Fit Dar Kesim Bisiklet Yaka Kısa Kollu Tişört 4A4800000001,https://www.trendyol.com//ac-co-altinyildiz-classics/erkek-siyah-100-pamuk-slim-fit-dar-kesim-bisiklet-yaka-kisa-kollu-tisort-p-220686963,"154,99",T-Shirt
Erkek Jeans Skinny Fit Likralı Düz Siyah 2001ENJYG,https://www.trendyol.com//enerjin/erkek-jeans-skinny-fit-likrali-duz-siyah-p-123450763?advertItems=eyJhZHZlcnRJZCI6ImY3ZDFmN2ZiLTMwNTYtNDFiNS05OTEyLTRmNjA3OTcyMTQwYyIsInNvcnRpbmdTY29yZSI6MC4wNDYwMTk4NjczNTMxNDEzMSwiYWRTY29yZSI6MC4wMTg1MTE2MTE5NjgyNzg4ODUsImFkU2NvcmVzIjp7IjEiOjAuMDE4NTExNjExOTY4Mjc4ODg1LCIyIjowLjAxODUxMTYxMTk2ODI3ODg4NX0sImNwYyI6Mi40ODU5OTk5OTk5OTk5OTk4LCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuNDg1OTk5OTk5OTk5OTk5OCwiYWR2ZXJ0U2xvdCI6Nywib3JkZXIiOjEyLCJhdHRyaWJ1dGVzIjoiIn0=,"349,90",Pantolon
Erkek Siyah Slim Fit Kot Pantolon 0128,https://www.trendyol.com//elitwear/erkek-siyah-slim-fit-kot-pantolon-p-128132193,199,Pantolon
Gri 91 Baskılı Oversize T-Shirt V-30-463 6879,https://www.trendyol.com//bybasicman/gri-91-baskili-oversize-t-shirt-v-30-463-p-745010578?advertItems=eyJhZHZlcnRJZCI6IjYyOWQ3YTgzLTdmYzMtNGFkMS1hZTFmLWViNGE1OGRjZmM2YyIsInNvcnRpbmdTY29yZSI6MC4wNDU5NjQ3ODcwMDYzNzgxNzYsImFkU2NvcmUiOjAuMDMyNjQ1NDQ1MzE3MDI5OTUsImFkU2NvcmVzIjp7IjEiOjAuMDMyNjQ1NDQ1MzE3MDI5OTUsIjIiOjAuMDMyNjQ1NDQ1MzE3MDI5OTV9LCJjcGMiOjEuNDA4MDAwMDAwMDAwMDAwMSwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjM2MjU5MTcxMzM3OTc3MSwiYWR2ZXJ0U2xvdCI6OCwib3JkZXIiOjE0LCJhdHRyaWJ1dGVzIjoiIn0=,"286,80",T-Shirt
Siyah Pileli Baggy Kumaş Pantolon MOO1074,https://www.trendyol.com//menofourswear/siyah-pileli-baggy-kumas-pantolon-p-755377411,"333,55",Pantolon
Erkek Bej Slim Fit Rahat Kesim Beli Bağlamalı Yan Cepli Jogger Pantolon ET0100000010,https://www.trendyol.com//ac-co-altinyildiz-classics/erkek-bej-slim-fit-rahat-kesim-beli-baglamali-yan-cepli-jogger-pantolon-p-752639170?advertItems=eyJhZHZlcnRJZCI6IjE1ZGMzMmZhLWExNWYtNDgwMy05Mjc2LWQ5M2Y5ZGYzYjdiYSIsInNvcnRpbmdTY29yZSI6MC4wNDI4NzUwODEyMjYyMjk2NywiYWRTY29yZSI6MC4wMjk5ODI1NzQyODQwNzY2OSwiYWRTY29yZXMiOnsiMSI6MC4wMjk5ODI1NzQyODQwNzY2OSwiMiI6MC4wMjk5ODI1NzQyODQwNzY2OX0sImNwYyI6MS40MzAwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNDMwMDAwMDAwMDAwMDAwMiwiYWR2ZXJ0U2xvdCI6MTAsIm9yZGVyIjoxOCwiYXR0cmlidXRlcyI6IiJ9,"449,99",Pantolon
Erkek Kapüşonlu Sweatshirt Skull Sırt Baskı snake9,https://www.trendyol.com//relax-family-xf/erkek-kapusonlu-sweatshirt-skull-sirt-baski-p-260178071,190,Sweatshirt
Skinny Fit Likralı Mavi Tırnaklı Erkek Pantolon dyg1003,https://www.trendyol.com//no-way/skinny-fit-likrali-mavi-tirnakli-erkek-pantolon-p-300098974?advertItems=eyJhZHZlcnRJZCI6IjNmYzE1MmVhLTVkOWYtNDgyYy04MTY5LTIwYjk4Y2U0MGJiZCIsInNvcnRpbmdTY29yZSI6MC4wNDI3NzY4MDIxMTg4Njc2MywiYWRTY29yZSI6MC4wMTcyMDcwODA0OTgzMzc3NDYsImFkU2NvcmVzIjp7IjEiOjAuMDE3MjA3MDgwNDk4MzM3NzQ2LCIyIjowLjAxNzIwNzA4MDQ5ODMzNzc0Nn0sImNwYyI6Mi40ODU5OTk5OTk5OTk5OTkzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuNDg1OTk5OTk5OTk5OTk5MywiYWR2ZXJ0U2xvdCI6MTEsIm9yZGVyIjoyMCwiYXR0cmlidXRlcyI6IiJ9,"399,90",Pantolon
Kalın Kışlık Gri Slim Fit Likralı Kumaş Pantolon İDS2019,https://www.trendyol.com//ids-collection/kalin-kislik-gri-slim-fit-likrali-kumas-pantolon-p-785136185?advertItems=eyJhZHZlcnRJZCI6ImY5YmM3ZWZiLTk5ZTQtNDBlMS1hMDFiLTQ0ODJkNWVkYmJlYyIsInNvcnRpbmdTY29yZSI6MC4wNDI0OTQyODM5ODkwNzE4NDYsImFkU2NvcmUiOjAuMDU1MTg3MzgxODAzOTg5NDEsImFkU2NvcmVzIjp7IjEiOjAuMDU1MTg3MzgxODAzOTg5NDEsIjIiOjAuMDU1MTg3MzgxODAzOTg5NDF9LCJjcGMiOjAuNzcsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MC43NywiYWR2ZXJ0U2xvdCI6MTIsIm9yZGVyIjoyMiwiYXR0cmlidXRlcyI6IiJ9,"499,99",Pantolon
Slim Fit Kolay Ütü Teri Emen Nefes Alan Doku Kravatlık Dört Mevsim Mavi Erkek Gömlek DR220054-BLU,https://www.trendyol.com//tudors/slim-fit-kolay-utu-teri-emen-nefes-alan-doku-kravatlik-dort-mevsim-mavi-erkek-gomlek-p-464992143,"178,67",Gömlek
Yarım Fermuarlı Brooklyn Baskılı Beyaz Sweatshirt 406029508,https://www.trendyol.com//jooy-company/yarim-fermuarli-brooklyn-baskili-beyaz-sweatshirt-p-786368031,"284,05",Sweatshirt
Erkek Likralı Slimfit Kot Pantolon K0279 - Siyah P3494S6913,https://www.trendyol.com//kocmen/erkek-likrali-slimfit-kot-pantolon-k0279-siyah-p-94784410?advertItems=eyJhZHZlcnRJZCI6ImU2MjdhZmVlLTYwZWEtNGNkMS1iZGNjLWU5MzQ3N2U0MDE2MSIsInNvcnRpbmdTY29yZSI6MC4wNjIzNTU4ODIwNDg2MDY4NSwiYWRTY29yZSI6MC4wMzI2ODQwMjA2OTgwNzA1MjYsImFkU2NvcmVzIjp7IjEiOjAuMDMyNjg0MDIwNjk4MDcwNTI2LCIyIjowLjAzMjY4NDAyMDY5ODA3MDUyNn0sImNwYyI6MS45MDc4Mzk5OTk5OTk5OTkzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNzUwNTM3MjY1ODc1OTY5NywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjEsImF0dHJpYnV0ZXMiOiIifQ==,"329,99",Pantolon
Erkek Lacivert Düğmeli Yaka Kolay Ütülenebilir Oxford Pamuklu Standart Fit Normal Kesim Gömlek E0020 E002000,https://www.trendyol.com//avva/erkek-lacivert-dugmeli-yaka-kolay-utulenebilir-oxford-pamuklu-standart-fit-normal-kesim-gomlek-e0020-p-57948947,"369,99",Gömlek
Erkek Gömlek Yaka Oversize Kışlık Pamuklu Oduncu Gömlek 10402,https://www.trendyol.com//hazhers/erkek-gomlek-yaka-oversize-kislik-pamuklu-oduncu-gomlek-p-128418110?advertItems=eyJhZHZlcnRJZCI6ImE5MDcwMWZkLWM1MTAtNGQ4ZC1iNDgzLWE3ZTI4ZTA1Y2IwZCIsInNvcnRpbmdTY29yZSI6MC4wNTY1NjA5MTY3NDU4MDA5ODYsImFkU2NvcmUiOjAuMDM1MzY5MDQ5NzU3NzE5MDQsImFkU2NvcmVzIjp7IjEiOjAuMDM1MzY5MDQ5NzU3NzE5MDQsIjIiOjAuMDM1MzY5MDQ5NzU3NzE5MDR9LCJjcGMiOjEuNTk5MTY0MTYwMDAwMDAwNCwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjU5OTE2NDE2MDAwMDAwMDQsImFkdmVydFNsb3QiOjIsIm9yZGVyIjozLCJhdHRyaWJ1dGVzIjoiIn0=,"487,59",Gömlek
Erkek Gömlek G021GL004.000.857702,https://www.trendyol.com//pierre-cardin/erkek-gomlek-g021gl004-000-857702-p-5059532,"309,89",Gömlek
Erkek Siyah Renk Italyan Kesim Kaliteli Esnek Likralı Bilek Boy Kumaş Pantolon BRKKMSPNT,https://www.trendyol.com//burke/erkek-siyah-renk-italyan-kesim-kaliteli-esnek-likrali-bilek-boy-kumas-pantolon-p-129547997?advertItems=eyJhZHZlcnRJZCI6ImE1MmYxMGRjLTY3ZDMtNGZiMC04ZTUxLTE1ZTYxZjAwYTdhOCIsInNvcnRpbmdTY29yZSI6MC4wNTY0NjI1NDI0NTE5MTgxMywiYWRTY29yZSI6MC4wNDY2NjMyNTgyMjQ3MjU3MiwiYWRTY29yZXMiOnsiMSI6MC4wNDY2NjMyNTgyMjQ3MjU3MiwiMiI6MC4wNDY2NjMyNTgyMjQ3MjU3Mn0sImNwYyI6MS4yMTAwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuMTEzMDI1NDIxNTE1NTI4NCwiYWR2ZXJ0U2xvdCI6Mywib3JkZXIiOjUsImF0dHJpYnV0ZXMiOiIifQ==,"369,99",Pantolon
Pileli Klasik Baggy Pantolon ELZ11025,https://www.trendyol.com//wamoss/pileli-klasik-baggy-pantolon-p-784869771,"335,60",Pantolon
Unisex Zümrüt Yeşili Bisiklet Yaka Pamuk Oversize Boyfriend T-shirt JJ1,https://www.trendyol.com//genel-markalar/unisex-zumrut-yesili-bisiklet-yaka-pamuk-oversize-boyfriend-t-shirt-p-314556070,"41,18",T-Shirt
Erkek Asit Yıkama Gri Bol Paça Jean Kot Baggy Pantolon baggy1111,https://www.trendyol.com//cuqq-denim/erkek-asit-yikama-gri-bol-paca-jean-kot-baggy-pantolon-p-781010919?advertItems=eyJhZHZlcnRJZCI6ImI5NGNjNDYzLWQ3NmMtNGM2Ny1iMDY5LTE4YWMzZGRjNDU2NCIsInNvcnRpbmdTY29yZSI6MC4wNTA1NTY3OTA3NjUzNzQ5LCJhZFNjb3JlIjowLjA1MjgyODQxMjUwMzAwNDA3NCwiYWRTY29yZXMiOnsiMSI6MC4wNTI4Mjg0MTI1MDMwMDQwNzQsIjIiOjAuMDUyODI4NDEyNTAzMDA0MDc0fSwiY3BjIjowLjk1NzAwMDAwMDAwMDAwMDEsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MC45NTcwMDAwMDAwMDAwMDAxLCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6OSwiYXR0cmlidXRlcyI6IiJ9,399,Pantolon
Beyaz Erkek Basic %100 Pamuk Bisiklet Yaka T-shirt T-SHİRT01,https://www.trendyol.com//emta/beyaz-erkek-basic-100-pamuk-bisiklet-yaka-t-shirt-p-75503770,"149,99",T-Shirt
Erkek Jeans Skinny Fit Likralı Düz Trnak Mavi 2000ENJYG,https://www.trendyol.com//enerjin/erkek-jeans-skinny-fit-likrali-duz-trnak-mavi-p-122988462?advertItems=eyJhZHZlcnRJZCI6ImY3ZDFmN2ZiLTMwNTYtNDFiNS05OTEyLTRmNjA3OTcyMTQwYyIsInNvcnRpbmdTY29yZSI6MC4wNDk3NTM1Mjg1OTg2OTU5OSwiYWRTY29yZSI6MC4wMjAwMTM0ODY5NjY0OTA3NDYsImFkU2NvcmVzIjp7IjEiOjAuMDIwMDEzNDg2OTY2NDkwNzQ2LCIyIjowLjAyMDAxMzQ4Njk2NjQ5MDc0Nn0sImNwYyI6Mi40ODU5OTk5OTk5OTk5OTk4LCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMzE5NDQyNzE2OTMwODQzLCJhZHZlcnRTbG90Ijo2LCJvcmRlciI6MTEsImF0dHJpYnV0ZXMiOiIifQ==,"310,05",Pantolon
Erkek Dar Kalıp Jogger Pantolon Duble Paça Siyah BLGKARGOPANTOLON,https://www.trendyol.com//blg-sportswear/erkek-dar-kalip-jogger-pantolon-duble-paca-siyah-p-756439125,"239,99",Pantolon
Erkek Jeans Skinny Fit Likralı Düz Siyah 2001ENJYG,https://www.trendyol.com//enerjin/erkek-jeans-skinny-fit-likrali-duz-siyah-p-123450763?advertItems=eyJhZHZlcnRJZCI6ImY3ZDFmN2ZiLTMwNTYtNDFiNS05OTEyLTRmNjA3OTcyMTQwYyIsInNvcnRpbmdTY29yZSI6MC4wNDYwMTk4NjczNTMxNDEzMSwiYWRTY29yZSI6MC4wMTg1MTE2MTE5NjgyNzg4ODUsImFkU2NvcmVzIjp7IjEiOjAuMDE4NTExNjExOTY4Mjc4ODg1LCIyIjowLjAxODUxMTYxMTk2ODI3ODg4NX0sImNwYyI6Mi40ODU5OTk5OTk5OTk5OTk4LCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuNDg1OTk5OTk5OTk5OTk5OCwiYWR2ZXJ0U2xvdCI6Nywib3JkZXIiOjEzLCJhdHRyaWJ1dGVzIjoiIn0=,"349,90",Pantolon
Gri 91 Baskılı Oversize T-Shirt V-30-463 6879,https://www.trendyol.com//bybasicman/gri-91-baskili-oversize-t-shirt-v-30-463-p-745010578?advertItems=eyJhZHZlcnRJZCI6IjYyOWQ3YTgzLTdmYzMtNGFkMS1hZTFmLWViNGE1OGRjZmM2YyIsInNvcnRpbmdTY29yZSI6MC4wNDU5NjQ3ODcwMDYzNzgxNzYsImFkU2NvcmUiOjAuMDMyNjQ1NDQ1MzE3MDI5OTUsImFkU2NvcmVzIjp7IjEiOjAuMDMyNjQ1NDQ1MzE3MDI5OTUsIjIiOjAuMDMyNjQ1NDQ1MzE3MDI5OTV9LCJjcGMiOjEuNDA4MDAwMDAwMDAwMDAwMSwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjM2MjU5MTcxMzM3OTc3MSwiYWR2ZXJ0U2xvdCI6OCwib3JkZXIiOjE1LCJhdHRyaWJ1dGVzIjoiIn0=,"286,80",T-Shirt
Erkek Slim Fit Siyah Kumaş Pantolon 1994,https://www.trendyol.com//elitwear/erkek-slim-fit-siyah-kumas-pantolon-p-343948612,299,Pantolon
Erkek Regular Fit Kışlık Kaşe Gömlek 2632,https://www.trendyol.com//redline/erkek-regular-fit-kislik-kase-gomlek-p-777153681?advertItems=eyJhZHZlcnRJZCI6IjNlNDkyZjFkLTVhMWItNDAxMi04ZTc0LTc0ZDc5Y2VmZmVmMiIsInNvcnRpbmdTY29yZSI6MC4wNDM4Mjk1MDc2NzgzMDM3MywiYWRTY29yZSI6MC4wMzk0ODIxNTAyMjY4MzE0MzYsImFkU2NvcmVzIjp7IjEiOjAuMDM5NDgyMTUwMjI2ODMxNDM2LCIyIjowLjAzOTQ4MjE1MDIyNjgzMTQzNn0sImNwYyI6MS4xMTAxMDk0NDAwMDAwMDAyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuMTA1OTM1ODQ4ODQxNjgxLCJhZHZlcnRTbG90Ijo5LCJvcmRlciI6MTcsImF0dHJpYnV0ZXMiOiIifQ==,"392,41",Gömlek
Unisex Bebe Mavisi San Francisco Baskılı Oversize Kapüşonlu Newjersey232,https://www.trendyol.com//modagen/unisex-bebe-mavisi-san-francisco-baskili-oversize-kapusonlu-p-343388614,115,Sweatshirt
Todillo Erkek Sweatshirt Siyah 112030120,https://www.trendyol.com//lufian/todillo-erkek-sweatshirt-siyah-p-758738566,"629,99",Sweatshirt
Skinny Fit Likralı Mavi Tırnaklı Erkek Pantolon dyg1003,https://www.trendyol.com//no-way/skinny-fit-likrali-mavi-tirnakli-erkek-pantolon-p-300098974?advertItems=eyJhZHZlcnRJZCI6IjNmYzE1MmVhLTVkOWYtNDgyYy04MTY5LTIwYjk4Y2U0MGJiZCIsInNvcnRpbmdTY29yZSI6MC4wNDI3NzY4MDIxMTg4Njc2MywiYWRTY29yZSI6MC4wMTcyMDcwODA0OTgzMzc3NDYsImFkU2NvcmVzIjp7IjEiOjAuMDE3MjA3MDgwNDk4MzM3NzQ2LCIyIjowLjAxNzIwNzA4MDQ5ODMzNzc0Nn0sImNwYyI6Mi40ODU5OTk5OTk5OTk5OTkzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuNDg1OTk5OTk5OTk5OTk5MywiYWR2ZXJ0U2xvdCI6MTEsIm9yZGVyIjoyMSwiYXR0cmlidXRlcyI6IiJ9,"399,90",Pantolon
Erkek Siyah Beyaz Antrasit 3'lü %100 Pamuk Bisiklet Yaka Standart Fit Normal Kesim T-shirt E001010,https://www.trendyol.com//avva/erkek-siyah-beyaz-antrasit-3-lu-100-pamuk-bisiklet-yaka-standart-fit-normal-kesim-t-shirt-e001010-p-101771784,"449,99",T-Shirt
Kalın Kışlık Gri Slim Fit Likralı Kumaş Pantolon İDS2019,https://www.trendyol.com//ids-collection/kalin-kislik-gri-slim-fit-likrali-kumas-pantolon-p-785136185?advertItems=eyJhZHZlcnRJZCI6ImY5YmM3ZWZiLTk5ZTQtNDBlMS1hMDFiLTQ0ODJkNWVkYmJlYyIsInNvcnRpbmdTY29yZSI6MC4wNDI0OTQyODM5ODkwNzE4NDYsImFkU2NvcmUiOjAuMDU1MTg3MzgxODAzOTg5NDEsImFkU2NvcmVzIjp7IjEiOjAuMDU1MTg3MzgxODAzOTg5NDEsIjIiOjAuMDU1MTg3MzgxODAzOTg5NDF9LCJjcGMiOjAuNzcsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MC43NywiYWR2ZXJ0U2xvdCI6MTIsIm9yZGVyIjoyMywiYXR0cmlidXRlcyI6IiJ9,"499,99",Pantolon
Erkek Likralı Slimfit Kot Pantolon K0279 - Siyah P3494S6913,https://www.trendyol.com//kocmen/erkek-likrali-slimfit-kot-pantolon-k0279-siyah-p-94784410?advertItems=eyJhZHZlcnRJZCI6ImU2MjdhZmVlLTYwZWEtNGNkMS1iZGNjLWU5MzQ3N2U0MDE2MSIsInNvcnRpbmdTY29yZSI6MC4wNjIzNTU4ODIwNDg2MDY4NSwiYWRTY29yZSI6MC4wMzI2ODQwMjA2OTgwNzA1MjYsImFkU2NvcmVzIjp7IjEiOjAuMDMyNjg0MDIwNjk4MDcwNTI2LCIyIjowLjAzMjY4NDAyMDY5ODA3MDUyNn0sImNwYyI6MS45MDc4Mzk5OTk5OTk5OTkzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNzUwNTM3MjY1ODc1OTY5NywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjEsImF0dHJpYnV0ZXMiOiIifQ==,"329,99",Pantolon
Boyfriend Koyu Mavi Yıkamalı Kot Pantolon BagyB,https://www.trendyol.com//wamoss/boyfriend-koyu-mavi-yikamali-kot-pantolon-p-764702586,"222,52",Pantolon
Erkek Gömlek Yaka Oversize Kışlık Pamuklu Oduncu Gömlek 10402,https://www.trendyol.com//hazhers/erkek-gomlek-yaka-oversize-kislik-pamuklu-oduncu-gomlek-p-128418110?advertItems=eyJhZHZlcnRJZCI6ImE5MDcwMWZkLWM1MTAtNGQ4ZC1iNDgzLWE3ZTI4ZTA1Y2IwZCIsInNvcnRpbmdTY29yZSI6MC4wNTY1NjA5MTY3NDU4MDA5ODYsImFkU2NvcmUiOjAuMDM1MzY5MDQ5NzU3NzE5MDQsImFkU2NvcmVzIjp7IjEiOjAuMDM1MzY5MDQ5NzU3NzE5MDQsIjIiOjAuMDM1MzY5MDQ5NzU3NzE5MDR9LCJjcGMiOjEuNTk5MTY0MTYwMDAwMDAwNCwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjU5OTE2NDE2MDAwMDAwMDQsImFkdmVydFNsb3QiOjIsIm9yZGVyIjozLCJhdHRyaWJ1dGVzIjoiIn0=,"487,59",Gömlek
Lowe Erkek Sweatshirt Siyah 112030125,https://www.trendyol.com//lufian/lowe-erkek-sweatshirt-siyah-p-758738509,"505,10",Sweatshirt
